order_number,record_type,order_type,borough,on_street,from_street,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_location,distance_from_intersection,arrow_direction,sheeting_type,support,to_street,facing_direction,sign_notes,sign_design_voided_on_date,on_street_suffix,from_street_suffix,to_street_suffix,geometry
R-01673513,Historical,R-,Brooklyn,DEKALB AVENUE,LEWIS AVENUE,@,2023-10-04T00:00:00.000,R6-1,ONE WAY ARROW,036 X 012,S/E C,0,North,TIII,LP,,,,,,,,POINT (1001707 191768)
S-01505617,Historical,S-,Brooklyn,AVENUE U,EAST    9 STREET,S,2021-04-29T00:00:00.000,CL,CURB LINE,N/A,,0,,,,CONEY ISLAND AVENUE,,,,,,,POINT EMPTY
R-786719,Historical,R-,Manhattan,WEST   11 STREET,WASHINGTON STREET,S,2009-04-10T00:00:00.000,CL,CURB LINE,N/A,,0,,,,WEST STREET,,,,,,,POINT EMPTY
S-01676600,Current,S-,Bronx,NETHERLAND AVENUE,WEST  236 STREET,E,2023-10-24T00:00:00.000,PL,PROPERTY LINE,N/A,,469,,,,HENRY HUDSON PARKWAY EAST,,,,,,,POINT EMPTY
S-922068,Historical,S-,Queens,83 DRIVE,KEW GARDENS ROAD,N,1995-02-14T00:00:00.000,CL,CURB LINE,N/A,,0,,,,TALBOT STREET,,,,,,,POINT EMPTY
R-01676464,Historical,R-,Queens,60 STREET,59 DRIVE,@,2023-10-23T00:00:00.000,R6-1,ONE WAY ARROW,036 X 012,S/E C,0,South,TIII,LP,,,,,,,,POINT (1010199 200644)
S-065863,Historical,S-,Manhattan,GOUVERNEUR STREET,WATER STREET,E,2000-12-27T00:00:00.000,CL,CURB LINE,N/A,,0,,,,MADISON STREET,,,,,,,POINT EMPTY
R-01673596,Historical,R-,Queens,MASPETH AVENUE,MAURICE AVENUE,@,2023-10-04T00:00:00.000,SI-184G,TRUCK ROUTE W/ TRUCK SYMBOL,036 X 024,*NOTE,0,,TIII,WP,,South,INSTALL ON WLP @ NWC OF MAURICE AV & MASPETH AV         (SOUTH APEX OF GAS STATION DRIVEWAY),,,,,POINT (1008484 202784)
R-01672631,Historical,R-,Manhattan,6 AVENUE,WEST   14 STREET,@,2023-10-04T00:00:00.000,R6-1,ONE WAY ARROW,036 X 012,N/E C,0,North,TIII,TS,,,,,,,,POINT (985171 207926)
S-953270,Historical,S-,Brooklyn,21 AVENUE,66 STREET,W,1997-10-23T00:00:00.000,CL,CURB LINE,N/A,,0,,,,67 STREET,,,,,,,POINT EMPTY
ST01455114,Historical,ST,Staten Island,CLOVE ROAD,SCHOHARIE STREET,@,2020-07-10T00:00:00.000,SI-XXXG,"36"" STREET NAME SIGN (PROPER NAME TO BE SPECIFIED)",036 X 009,N/E C,0,,TIII,SAME,,,VAN CORTLANDT AV,,,,,POINT (955904 163207)
S-01417677,Historical,S-,Brooklyn,EAST   37 STREET,GLENWOOD ROAD,W,2020-07-28T00:00:00.000,PL,PROPERTY LINE,N/A,,7,,,,FARRAGUT ROAD,,,,,,,POINT EMPTY
R-01608683,Historical,R-,Queens,SPRINGFIELD BOULEVARD,120 AVENUE,E,2022-10-27T00:00:00.000,PL,PROPERTY LINE,N/A,,583,,,,119 AVENUE,,,,,,,POINT EMPTY
S-01654038,Current,S-,Queens,68 ROAD,147 STREET,S,2023-10-02T00:00:00.000,PL,PROPERTY LINE,N/A,,9,,,,DEAD END,,,,,,,POINT EMPTY
C-01591322,Historical,C-,Brooklyn,AVENUE N,EAST   71 STREET,@,2022-06-28T00:00:00.000,SR-731,ALL WAY,018 X 006,S/W C,0,,TIII,SAME,,West,,,,,,POINT (1008974 166251)
S-137958,Historical,S-,Manhattan,CENTRAL PARK WEST,WEST  100 STREET,W,2005-01-12T00:00:00.000,CL,CURB LINE,N/A,,0,,,,WEST   97 STREET,,,,,,,POINT EMPTY
R-01673469,Historical,R-,Staten Island,AUBURN AVENUE,STEWART AVENUE,@,2023-10-04T00:00:00.000,R1-1,STOP,030 X 030,N/E C,0,,TIII,DR,,East,,,,,,POINT (943795 162271)
C-347910,Historical,C-,Staten Island,BURNSIDE AVENUE,SHAW PLACE,@,2014-09-03T00:00:00.000,W6-4,TWO WAY TRAFFIC AHEAD,030 X 030,N WSD,45,,TIII,DR,,North,,,,,,POINT (947411 166267)
S-01666576,Current,S-,Bronx,EAST  163 STREET,INTERVALE AVENUE,S,2023-10-19T00:00:00.000,CL,CURB LINE,N/A,,235,,,,KELLY STREET,,,,,,,POINT EMPTY
R-01669595,Historical,R-,Manhattan,BROADWAY,WEST   91 STREET,W,2023-10-27T00:00:00.000,PS-174C,2 HMP 8:30AM-10PM EXCEPT SUNDAY <-> (SUPERSEDES SP-177EB & PS-33C),018 X 018,,200,,PNTD,SAME,WEST   90 STREET,,,2023-04-17T00:00:00.000,,,,POINT (991271 227469)
P-01676637,Current,P-,Manhattan,3 AVENUE,EAST   72 STREET,E,2023-10-23T00:00:00.000,SI-1939G,REAL TIME PUBLIC INFORMATION BOX (FULL TIME BUS STOPS WITHOUT LOCATOR),040 X 029,,164,,PNTD,SAME,EAST   73 STREET,,"M101 LTD - FORT GEORGE, M102 - HARLEM, M103 - EAST HARLEM, M98 LTD - WASHINGTON HEIGHTS,HAMPTON JITNEY - DROP OFF ONLY (NOT IN RTPI), SHORTLINE - ORANGE COUNTY, NY (NOT IN RTPI); 3 AV &amp; E 72 ST",,,,,POINT (995241 219863)
C-01301413,Historical,C-,Queens,82 AVENUE,265 STREET,@,2018-04-11T00:00:00.000,R1-1,STOP,030 X 030,N/W C,0,,TIII,DR,,North,,,,,,POINT (1065949 209808)
R-01644249,Historical,R-,Manhattan,EAST    1 STREET,EAST HOUSTON STREET,N,2023-05-10T00:00:00.000,BL,BUILDING LINE,N/A,,469,,,,1 AVENUE,,,,,,,POINT EMPTY
B-01363092,Historical,B-,Staten Island,BARD AVENUE,CLOVE ROAD,E,2019-03-27T00:00:00.000,SR-2191,CITY SPEED LIMIT 25 PHOTO ENFORCED (SUPERSEDES SR-2166),030 X 048,,0,,TIII,WP,RICHMOND TERRACE,South,N/E/C OF THAMES AVE,,,,,POINT (954080 174332)
R-01672663,Historical,R-,Manhattan,EDGECOMBE AVENUE,WEST  155 STREET,E,2023-10-26T00:00:00.000,PS-33BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 9:30AM-11AM--> (SUPERSEDES SP-382CA),018 X 012,,1863,South,PNTD,LP,WEST  167 STREET,,,,,,,POINT EMPTY
R-01739841,Historical,R-,Staten Island,OSBORN AVENUE,HYLAN BOULEVARD,E,2024-09-30T00:00:00.000,PL,PROPERTY LINE,N/A,,230,,,,RUSSELL STREET,,,,,,,POINT EMPTY
R-01675507,Historical,R-,Queens,65 AVENUE,173 STREET,S,2023-10-17T00:00:00.000,PL,PROPERTY LINE,N/A,,8,,,,172 STREET,,,,,,,POINT EMPTY
R-01309783,Historical,R-,Queens,30 AVENUE,30 STREET,N,2018-05-25T00:00:00.000,CL,CURB LINE,N/A,,369,,,,29 STREET,,,,,,,POINT EMPTY
C-00097661,Current,C-,Bronx,CEDAR AVENUE,SEDGWICK AVENUE,@,2024-05-22T00:00:00.000,SI-441G,12 O'CLOCK ARROW (SYMBOL) INTERSTATE ROUTE MARKER (SUPERSEDES SI-31R),024 X 015,N/W C,0,,TIII,SAME,,South,,,,,,POINT (1006181 249770)
ST01669782,Current,ST,Staten Island,ARNPRIOR STREET,FOREST AVENUE,@,2023-10-02T00:00:00.000,SN-118A,FOREST AV,024 X 009,S/E C,0,,TIII,SNP,,,FOREST AV,,,,,POINT (944533 166956)
ST01639463,Current,ST,Queens,WESTMORELAND STREET,41 AVENUE,@,2024-09-18T00:00:00.000,SN-8223A,WESTMORELAND STREET,036 X 009,S CURB,0,,TIII,WP,,,WESTMORELAND STREET OPP N/E C,,,,,POINT (1056329 221228)
SC01673463,Current,SC,Brooklyn,AVENUE L,EAST   92 STREET,@,2023-10-04T00:00:00.000,SR-2081,END SCHOOL SPEED LIMIT (SCHOOL SIGN),024 X 030,N/E C,0,,TIII,WP,,South,,,,,,POINT (1012302 171122)
R-01675857,Historical,R-,Staten Island,RICHMOND TERRACE,YORK AVENUE,S,2023-10-18T00:00:00.000,PL,PROPERTY LINE,N/A,,72,,,,JERSEY STREET,,,,,,,POINT EMPTY
R-01674493,Historical,R-,Manhattan,1 AVENUE,EAST    2 STREET,@,2023-10-11T00:00:00.000,R5-1,DO NOT ENTER (SYMBOL),030 X 030,S/E C,0,,TIII,SAME,,West,,,,,,POINT (987605 202989)
R-01668700,Historical,R-,Manhattan,WEST   94 STREET,COLUMBUS AVENUE,N,2023-10-03T00:00:00.000,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-850C),018 X 012,,524,,PNTD,LP,CENTRAL PARK WEST,,,,,,,POINT (993470 227408)
R-767203,Historical,R-,Bronx,RIVER AVENUE,EAST  153 STREET,E,2008-07-09T00:00:00.000,PL,PROPERTY LINE,N/A,,638,,,,EAST  157 STREET,,,,,,,POINT EMPTY
C-01414638,Historical,C-,Brooklyn,AVENUE J,EAST   16 STREET,@,2020-05-11T00:00:00.000,W3-3A,SIGNAL AHEAD (SYMBOL),036 X 036,W SSD,173,,TIII,DR,,West,BAND RAIL TO FENCE,,,,,POINT (995224 167085)
R-01516690,Historical,R-,Brooklyn,UTICA AVENUE,ST JOHNS PLACE,W,2023-10-26T00:00:00.000,SR-1874L,BUS (SYMBOLS) BUS LANE 7AM-7PM MON-FRI BUSES ONLY & RIGHT TURNS W/ (6 O'CLOCK ARROW ON LEFT SIDE),120 X 036,,0,,TIII,M-2A,FILLMORE AVENUE,North,180' N/O FARRAGUT RD,,,,,POINT (1003404 183595)
S-075091,Historical,S-,Brooklyn,RODNEY STREET,DIVISION AVENUE,N,2001-05-26T00:00:00.000,PL,PROPERTY LINE,N/A,,12,,,,SOUTH    9 STREET,,,,,,,POINT EMPTY
S-01415718,Historical,S-,Brooklyn,SUTTER AVENUE,WYONA STREET,S,2020-03-03T00:00:00.000,SP-477BA,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,020 DIAMETER,,89,West,ENGG,BUSPOLE,BRADFORD STREET,,BSM# - 301539,,,,,POINT (1014205 183318)
S-01318231,Historical,S-,Staten Island,EAST SERVICE ROAD,WILD AVENUE,E,2018-08-21T00:00:00.000,R7-20R,NO STANDING ANYTIME (REPLACED BY SP-10B),018 X 012,,1184,,PNTD,DR,VICTORY BOULEVARD,,CHANGE SIGN,2017-06-02T00:00:00.000,,,,POINT EMPTY
S-984757,Historical,S-,Queens,BEACH   19 STREET,SEAGIRT AVENUE,W,1999-02-17T00:00:00.000,R7-40R,NO PARKING ANYTIME <----> (SUPERSEDES R7-40 DON'T USE --R7-40)(SUPERSEDED BY SP-854C),018 X 012,,791,,PNTD,DR,PLAINVIEW AVENUE,,,2019-05-22T00:00:00.000,,,,POINT (1052830 157163)
S-912840,Historical,S-,Brooklyn,BERGEN STREET,HOPKINSON AVENUE,S,1994-05-31T00:00:00.000,CL,CURB LINE,N/A,,0,,,,SARATOGA AVENUE,,,,,,,POINT EMPTY
R-01572186,Historical,R-,Manhattan,MADISON AVENUE,EAST   58 STREET,E,2022-03-02T00:00:00.000,CL,CURB LINE,N/A,,229,,,,EAST   59 STREET,,,,,,,POINT EMPTY
S-01463120,Historical,S-,Brooklyn,SCHENECTADY AVENUE,SNYDER AVENUE,W,2020-08-17T00:00:00.000,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> (SUPERSEDES SP-360C),018 X 012,,1547,,PNTD,DR,CORTELYOU ROAD,,,,,,,POINT (1002917 174514)
R-01675904,Historical,R-,Queens,88 ROAD,78 STREET,@,2023-10-18T00:00:00.000,R6-1,ONE WAY ARROW,036 X 012,N/E C,0,West,TIII,SAME,,,,,,,,POINT (1022201 190405)
S-01527518,Current,S-,Manhattan,WEST  100 STREET,AMSTERDAM AVENUE,N,2021-06-22T00:00:00.000,PL,PROPERTY LINE,N/A,,819,,,,COLUMBUS AVENUE,,,,,,,POINT EMPTY
R-01676665,Historical,R-,Brooklyn,JAMAICA AVENUE,EUCLID AVENUE,@,2023-10-24T00:00:00.000,R6-1,ONE WAY ARROW,036 X 012,S/W C,0,South,TIII,WP,,,,,,,,POINT (1018756 190162)
